route_id	round	family	facet	query_type	expression	url	retrieved_at_utc	http_status	status	bytes	sha256	raw_file	error_file
Q19	L5	correction	exactness	search	"all:""independence Metropolis"" AND all:lattice"	https://export.arxiv.org/api/query?search_query=all%3A%22independence+Metropolis%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:11Z	200	OK	    9511	c4079508039ab052214c7d8b9582c8cda34ea7970263127993978256f6146b7a	raw/arxiv/Q19.xml	raw/arxiv/Q19.curl.stderr.txt
Q20	L6	path_lattice	mechanism	search	"all:""path space"" AND all:""lattice field theory"""	https://export.arxiv.org/api/query?search_query=all%3A%22path+space%22+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:15Z	200	OK	    3227	4f926b6f2867d64305aeed4ed7a1ce91353d7e650cdfc52d831812a8b347e47f	raw/arxiv/Q20.xml	raw/arxiv/Q20.curl.stderr.txt
Q21	L7	stochastic_quantization	mechanism	search	"all:""stochastic quantization"" AND all:""lattice field theory"""	https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+quantization%22+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:18Z	200	OK	   11921	b303cc0ab001bde7f2d924f8221f6bf69bc432f3bdb55050e0ded60aa29995dc	raw/arxiv/Q21.xml	raw/arxiv/Q21.curl.stderr.txt
Q22	L8	topology	problem	search	"all:""topological freezing"" AND all:""normalizing flow"""	https://export.arxiv.org/api/query?search_query=all%3A%22topological+freezing%22+AND+all%3A%22normalizing+flow%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:22Z	200	OK	   19123	cb555136cdec0837ceb47206d18021aecb38d400fface8bf16986dabff2b6151	raw/arxiv/Q22.xml	raw/arxiv/Q22.curl.stderr.txt
Q23	L9	multiscale	scaling	search	"all:multilevel AND all:""lattice field theory"""	https://export.arxiv.org/api/query?search_query=all%3Amultilevel+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:25Z	200	OK	   31326	e5a9aed8a533bf99c755529190794b70515612792b901935deef9cfe691958a1	raw/arxiv/Q23.xml	raw/arxiv/Q23.curl.stderr.txt
Q24	L10	author	author_lineage	search	au:Lucini_B AND all:sampling	https://export.arxiv.org/api/query?search_query=au%3ALucini_B+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	2026-07-16T10:07:29Z	200	OK	     738	56af8824e72d7a226e58b5d788859ea64223b4b2a8254576978e406f42af2c85	raw/arxiv/Q24.xml	raw/arxiv/Q24.curl.stderr.txt
