route_id,round,family,facet,rank,arxiv_id,version,title,authors,published,updated,primary_category,categories,abstract,canonical_url,pdf_url,raw_file
Q21,L7,stochastic_quantization,mechanism,6,0509134,v1,The Gluon Propagator in Lattice Landau Gauge with twisted boundary conditions,Torsten Tok; Kurt Langfeld; Hugo Reinhardt; Lorenz von Smekal,2005-09-26T17:04:08Z,2005-09-26T17:04:08Z,hep-lat,hep-lat,"We investigate the infrared behaviour of the gluon propagator in Landau gauge on a lattice with twisted boundary conditions. Analytic calculations using Dyson-Schwinger equations, exact renormalization group and stochastic quantization show that the gluon propagator in Landau gauge approaches zero for small momentum. On the other hand lattice calculations and calculations on a four-torus seem to give rise to a non-zero limit. One possible reason for this difference is the existence of zero-momentum fluctuation modes which potentially give a massive contribution to the gluon propagator. Our simulations show that with twisted boundary conditions these zero-momentum modes are suppressed and the gluon propagator becomes smaller than in a periodic ensemble.",https://arxiv.org/abs/0509134,https://arxiv.org/pdf/0509134v1,raw/arxiv/Q21.xml
Q22,L8,topology,problem,1,2601.20708,v1,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026-01-28T15:40:46Z,2026-01-28T15:40:46Z,hep-lat,hep-lat;cond-mat.stat-mech;cs.LG;hep-ph,"As lattice gauge theories with non-trivial topological features are driven towards the continuum limit, standard Markov Chain Monte Carlo simulations suffer for topological freezing, i.e., a dramatic growth of autocorrelations in topological observables. A widely used strategy is the adoption of Open Boundary Conditions (OBC), which restores ergodic sampling of topology but at the price of breaking translation invariance and introducing unphysical boundary artifacts. In this contribution we summarize a scalable, exact flow-based strategy to remove them by transporting configurations from a prior with a OBC defect to a fully periodic ensemble, and apply it to 4d SU(3) Yang--Mills theory. The method is based on a Stochastic Normalizing Flow (SNF) that alternates non-equilibrium Monte Carlo updates with localized, gauge-equivariant defect coupling layers implemented via masked parametric stout smearing. Training is performed by minimizing the average dissipated work, equivalent to a Kullback--Leibler divergence between forward and reverse non-equilibrium path measures, to achieve more reversible trajectories and improved efficiency. We discuss the scaling with the number of degrees of freedom affected by the defect and show that defect SNFs achieve better performances than purely stochastic non-equilibrium methods at comparable cost. Finally, we validate the approach by reproducing reference results for the topological susceptibility.",https://arxiv.org/abs/2601.20708,https://arxiv.org/pdf/2601.20708v1,raw/arxiv/Q22.xml
Q22,L8,topology,problem,2,2510.25704,v2,Scaling flow-based approaches for topology sampling in $\mathrm{SU}(3)$ gauge theory,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2025-10-29T17:12:21Z,2026-04-10T12:30:09Z,hep-lat,hep-lat;cond-mat.stat-mech;cs.LG;hep-ph,"We develop a methodology based on out-of-equilibrium simulations to mitigate topological freezing when approaching the continuum limit of lattice gauge theories. We reduce the autocorrelation of the topological charge employing open boundary conditions, while removing exactly their unphysical effects using a non-equilibrium Monte Carlo approach in which periodic boundary conditions are gradually switched on. We perform a detailed analysis of the computational costs of this strategy in the case of the four-dimensional $\mathrm{SU}(3)$ Yang-Mills theory. After achieving full control of the scaling, we outline a clear strategy to sample topology efficiently in the continuum limit, which we check at lattice spacings as small as $0.045$ fm. We also generalize this approach by designing a customized Stochastic Normalizing Flow for evolutions in the boundary conditions, obtaining superior performances with respect to the purely stochastic non-equilibrium approach, and paving the way for more efficient future flow-based solutions.",https://arxiv.org/abs/2510.25704,https://arxiv.org/pdf/2510.25704v2,raw/arxiv/Q22.xml
Q22,L8,topology,problem,3,2402.06561,v2,Mitigating topological freezing using out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-02-09T17:21:04Z,2024-04-29T15:38:39Z,hep-lat,hep-lat;cond-mat.stat-mech;hep-th,"Motivated by the recently-established connection between Jarzynski's equality and the theoretical framework of Stochastic Normalizing Flows, we investigate a protocol relying on out-of-equilibrium lattice Monte Carlo simulations to mitigate the infamous computational problem of topological freezing. We test our proposal on $2d$ $\mathrm{CP}^{N-1}$ models and compare our results with those obtained adopting the Parallel Tempering on Boundary Conditions proposed by M. Hasenbusch, obtaining comparable performances. Our work thus sets the stage for future applications combining our Monte Carlo setup with machine learning techniques.",https://arxiv.org/abs/2402.06561,https://arxiv.org/pdf/2402.06561v2,raw/arxiv/Q22.xml
Q22,L8,topology,problem,4,2310.11979,v1,Out-of-equilibrium simulations to fight topological freezing,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2023-10-18T14:07:43Z,2023-10-18T14:07:43Z,hep-lat,hep-lat,"Calculations of topological observables in lattice gauge theories with traditional Monte Carlo algorithms have long been known to be a difficult task, owing to the effects of long autocorrelations times. Several mitigation strategies have been put forward, including the use of open boundary conditions and methods such as parallel tempering. In this contribution we examine a new approach based on out-of-equilibrium Monte Carlo simulations. Starting from thermalized configurations with open boundary conditions on a line defect, periodic boundary conditions are gradually switched on. A sampling of topological observables is then shown to be possible with a specific reweighting-like technique inspired by Jarzynski's equality. We discuss the efficiency of this approach using results obtained for the 2-dimensional $\mathrm{CP}^{N-1}$ models. Furthermore, we outline the implementation of our proposal in the context of Stochastic Normalizing Flows, as they share the same theoretical framework of the non-equilibrium transformations we perform, and can be thought of as their generalization.",https://arxiv.org/abs/2310.11979,https://arxiv.org/pdf/2310.11979v1,raw/arxiv/Q22.xml
Q22,L8,topology,problem,5,2310.03381,v1,Learning Trivializing Flows in a $φ^4$ theory from coarser lattices,David Albandea; Luigi Del Debbio; Pilar Hernández; Richard Kenway; Joe Marsh Rossney; Alberto Ramos,2023-10-05T08:32:16Z,2023-10-05T08:32:16Z,hep-lat,hep-lat,"The so-called trivializing flows were proposed to speed up Hybrid Monte Carlo simulations, where the Wilson flow was used as an approximation of a trivializing map, a transformation of the gauge fields which trivializes the theory. It was shown that the scaling of the computational costs towards the continuum did not change with respect to HMC. The introduction of machine learning tecniques, especially normalizing flows, for the sampling of lattice gauge theories has shed some hope on solving topology freezing in lattice QCD simulations. In this talk I will present our work in a $φ^{4}$ theory using normalizing flows as trivializing flows (given its similarity with the idea of a trivializing map), training from a trivial distribution as well as from coarser lattices, and study its scaling towards the continuum, comparing it with standard HMC.",https://arxiv.org/abs/2310.03381,https://arxiv.org/pdf/2310.03381v1,raw/arxiv/Q22.xml
Q22,L8,topology,problem,6,2306.00581,v2,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,Ankur Singha; Dipankar Chakrabarti; Vipul Arora,2023-06-01T11:52:56Z,2023-10-31T05:43:39Z,hep-lat,hep-lat,"Sampling topological quantities in the Monte Carlo simulation of Lattice Gauge Theory becomes challenging as we approach the continuum limit of the theory. In this work, we introduce a Conditional Normalizing Flow (C-NF) model to sample U(1) gauge theory in two dimensions, aiming to mitigate the impact of topological freezing when dealing with smaller values of the U(1) bare coupling. To train the conditional flow model, we utilize samples generated by Hybrid Monte Carlo (HMC) method, ensuring that the autocorrelation in topological quantities remains low. Subsequently, we employ the trained model to interpolate the coupling parameter to values where training was not performed. We thoroughly examine the quality of the model in this region and generate uncorrelated samples, significantly reducing the occurrence of topological freezing. Furthermore, we propose a re-trainable approach that utilizes the model's own samples to enhance the generalization capability of the conditional model. This method enables sampling for coupling values that are far beyond the initial training region, expanding the applicability of the model.",https://arxiv.org/abs/2306.00581,https://arxiv.org/pdf/2306.00581v2,raw/arxiv/Q22.xml
Q22,L8,topology,problem,7,2211.07541,v1,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022-11-14T17:07:37Z,2022-11-14T17:07:37Z,hep-lat,hep-lat;cond-mat.stat-mech;cs.LG,"Recent applications of machine-learned normalizing flows to sampling in lattice field theory suggest that such methods may be able to mitigate critical slowing down and topological freezing. However, these demonstrations have been at the scale of toy models, and it remains to be determined whether they can be applied to state-of-the-art lattice quantum chromodynamics calculations. Assessing the viability of sampling algorithms for lattice field theory at scale has traditionally been accomplished using simple cost scaling laws, but as we discuss in this work, their utility is limited for flow-based approaches. We conclude that flow-based approaches to sampling are better thought of as a broad family of algorithms with different scaling properties, and that scalability must be assessed experimentally.",https://arxiv.org/abs/2211.07541,https://arxiv.org/pdf/2211.07541v1,raw/arxiv/Q22.xml
Q22,L8,topology,problem,8,2208.03832,v2,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022-08-07T22:16:20Z,2022-08-20T05:14:00Z,hep-lat,hep-lat,"Machine learning methods based on normalizing flows have been shown to address important challenges, such as critical slowing-down and topological freezing, in the sampling of gauge field configurations in simple lattice field theories. A critical question is whether this success will translate to studies of QCD. This Proceedings presents a status update on advances in this area. In particular, it is illustrated how recently developed algorithmic components may be combined to construct flow-based sampling algorithms for QCD in four dimensions. The prospects and challenges for future use of this approach in at-scale applications are summarized.",https://arxiv.org/abs/2208.03832,https://arxiv.org/pdf/2208.03832v2,raw/arxiv/Q22.xml
Q23,L9,multiscale,scaling,1,2604.10209,v1,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026-04-11T13:35:19Z,2026-04-11T13:35:19Z,hep-lat,hep-lat;cond-mat.stat-mech;physics.comp-ph,"Sampling lattice field theories near criticality is severely hindered by critical slowing down, which makes standard Markov chain methods increasingly inefficient at large lattice volumes. We introduce a multiscale generative sampler, inspired by renormalization-group ideas, that models the Boltzmann distribution through a coarse-to-fine hierarchy across length scales. At each level, a conditional Gaussian mixture model captures the main local dependence of newly introduced variables on the already-sampled coarse field, while a masked continuous normalizing flow refines the remaining conditional structure. Coarse levels encode the dominant long-wavelength modes, and finer levels progressively add short-distance fluctuations. In addition, because the architecture preserves coarse fields exactly during refinement, it provides exact restriction maps at no additional computational cost and directly enables unbiased Multilevel Monte Carlo (MLMC) variance reduction. For the two-dimensional scalar $φ^4$ theory at criticality, the method achieves integrated autocorrelation times orders of magnitude smaller than Hybrid Monte Carlo (HMC) on large volumes, maintains high importance-sampling efficiency relative to other generative baselines, and reproduces unbiased physical observables in statistical agreement with long HMC simulations.",https://arxiv.org/abs/2604.10209,https://arxiv.org/pdf/2604.10209v1,raw/arxiv/Q23.xml
