arxiv_id,version,title,authors,published,updated,primary_category,categories,abstract,canonical_url,pdf_url,route_ids,families,rounds,raw_files
0710.2795,v1,Charmonium properties in the quark-gluon plasma,M. B. Oktay; M. J. Peardon; J. I. Skullerud; G. Aarts; C. R. Allton,2007-10-15T13:00:17Z,2007-10-15T13:00:17Z,hep-lat,hep-lat,"We present results for charmonium correlators and spectral functions in 2-flavour CD on anisotropic lattices. Our results indicate that the S-waves (J/psi and eta_c) survive up to temperatures close to 2T_c, while the P-waves (chi_c0 and chi_c1) melt away below 1.2T_c.",https://arxiv.org/abs/0710.2795,https://arxiv.org/pdf/0710.2795v1,Q14,author,L3,raw/arxiv/Q14.xml
0801.1864,v1,Adaptive Independent Metropolis-Hastings by Fast Estimation of Mixtures of Normals,P. Giordani; R. Kohn,2008-01-11T22:53:12Z,2008-01-11T22:53:12Z,stat.CO,stat.CO;stat.AP;stat.ME,"We construct an adaptive independent Metropolis-Hastings sampler that uses a mixture of normals as a proposal distribution. To take full advantage of the potential of adaptive sampling our algorithm updates the mixture of normals frequently, starting early in the chain. The algorithm is built for speed and reliability and its sampling performance is evaluated with real and simulated examples. Our article outlines conditions for adaptive sampling to hold and gives a readily accessible proof that under these conditions the sampling scheme generates iterates that converge to the target distribution.",https://arxiv.org/abs/0801.1864,https://arxiv.org/pdf/0801.1864v1,Q17,correction,L4,raw/arxiv/Q17.xml
0803.1811,v2,Free energy landscape of mechanically unfolded model proteins: extended Jarzinsky versus inherent structure reconstruction,Stefano Luccioli; Alberto Imparato; Alessandro Torcini,2008-03-12T16:57:32Z,2008-09-04T13:32:42Z,cond-mat.stat-mech,cond-mat.stat-mech,"The equilibrium free energy landscape of off-lattice model heteropolymers as a function of an internal coordinate, namely the end-to-end distance, is reconstructed from out-of-equilibrium steered molecular dynamics data. This task is accomplished via two independent methods: by employing an extended version of the Jarzynski equality (EJE) and the inherent structure (IS) formalism. A comparison of the free energies estimated with these two schemes with equilibrium results obtained via the umbrella sampling technique reveals a good quantitative agreement among all the approaches in a range of temperatures around the ``folding transition'' for the two examined sequences. In particular, for the sequence with good foldability properties, the mechanically induced structural transitions can be related to thermodynamical aspects of folding. Moreover, for the same sequence the knowledge of the landscape profile allows for a good estimation of the life times of the native configuration for temperatures ranging from the folding to the collapse temperature. For the random sequence, mechanical and thermal unfolding appear to follow different paths along the landscape.",https://arxiv.org/abs/0803.1811,https://arxiv.org/pdf/0803.1811v2,Q12,jarzynski,L3,raw/arxiv/Q12.xml
0809.5227,v1,Stochastic quantization at nonzero chemical potential,Gert Aarts; Ion-Olimpiu Stamatescu,2008-09-30T15:26:28Z,2008-09-30T15:26:28Z,hep-lat,hep-lat;hep-ph;nucl-th,Lattice QCD at finite chemical potential is difficult due to the sign problem. We use stochastic quantization and complex Langevin dynamics to study this issue. First results for QCD in the hopping expansion are encouraging. U(1) and SU(3) one link models are used to gain further insight into why the method appears to be successful.,https://arxiv.org/abs/0809.5227,https://arxiv.org/pdf/0809.5227v1,Q21,stochastic_quantization,L7,expansion/raw/arxiv/Q21.xml
0903.0483,v1,Adaptive independent Metropolis--Hastings,Lars Holden; Ragnar Hauge; Marit Holden,2009-03-03T10:18:33Z,2009-03-03T10:18:33Z,math.PR,math.PR,"We propose an adaptive independent Metropolis--Hastings algorithm with the ability to learn from all previous proposals in the chain except the current location. It is an extension of the independent Metropolis--Hastings algorithm. Convergence is proved provided a strong Doeblin condition is satisfied, which essentially requires that all the proposal functions have uniformly heavier tails than the stationary distribution. The proof also holds if proposals depending on the current state are used intermittently, provided the information from these iterations is not used for adaption. The algorithm gives samples from the exact distribution within a finite number of iterations with probability arbitrarily close to 1. The algorithm is particularly useful when a large number of samples from the same distribution is necessary, like in Bayesian estimation, and in CPU intensive applications like, for example, in inverse problems and optimization.",https://arxiv.org/abs/0903.0483,https://arxiv.org/pdf/0903.0483v1,Q17,correction,L4,raw/arxiv/Q17.xml
0903.1385,v2,Gutzwiller density functional calculations of the electronic structure of FeAs-based superconductors: Evidence for a three-dimensional Fermi surface,G. T. Wang; Y. M. Qian; G. Xu; X. Dai; Z. Fang,2009-03-08T04:08:09Z,2009-05-19T09:20:50Z,cond-mat.supr-con,cond-mat.supr-con;cond-mat.str-el,"The electronic structures of FeAs-compounds strongly depend on the Fe-As bonding, which can not be described successfully by the local density approximation (LDA). Treating the multi-orbital fluctuations from $ab$-$initio$ by LDA+Gutzwiller method, we are now able to predict the correct Fe-As bond-length, and find that Fe-As bonding-strength is 30% weaker, which will explain the observed ""soft phonon"". The bands are narrowed by a factor of 2, and the $d_{3z^2-r^2}$ orbital is pushed up to cross the Fermi level, forming 3-dimensional Fermi surfaces, which suppress the anisotropy and the ($π,π$) nesting. The inter-orbital Hund's coupling $J$ rather than $U$ plays crucial roles to obtain these results.",https://arxiv.org/abs/0903.1385,https://arxiv.org/pdf/0903.1385v2,Q13,author,L3,raw/arxiv/Q13.xml
0911.0230,v1,Particle filtering within adaptive Metropolis Hastings sampling,Ralph Silva; Paolo Giordani; Robert Kohn; Mike Pitt,2009-11-02T13:43:29Z,2009-11-02T13:43:29Z,stat.CO,stat.CO;stat.ME,"We show that it is feasible to carry out exact Bayesian inference for non-Gaussian state space models using an adaptive Metropolis Hastings sampling scheme with the likelihood approximated by the particle filter. Furthermore, an adapyive independent Metropolis Hastings sampler based on a mixture of normals proposal is computationally much more efficient than an adaptive random walk proposal because the cost of constructing a good adaptive proposal is negligible compared to the cost of approximating the likelihood. Independent Metropolis Hastings proposals are also attractive because they are easy to run in parallel on multiple processors. We also show that when the particle filter is used, the marginal likelihood of any model is obtained in an efficient and unbiased manner, making model comparison straightforward.",https://arxiv.org/abs/0911.0230,https://arxiv.org/pdf/0911.0230v1,Q17,correction,L4,raw/arxiv/Q17.xml
0911.3204,v1,Scaling study of the relativistic corrections to the static potential,Yoshiaki Koma; Miho Koma,2009-11-17T05:11:35Z,2009-11-17T05:11:35Z,hep-lat,hep-lat,"The relativistic corrections to the static potential, i.e. the O(1/m) correction, the O(1/m^2) spin-dependent and momentum-dependent corrections are investigated in SU(3) lattice gauge theory. These corrections are relevant ingredients of an effective field theory for heavy quarkonium called potential nonrelativistic QCD. Utilizing the multilevel algorithm for the field strength correlator on the quark-antiquark source, these corrections are determined at the distances ranged from 0.25 to 1.2 fm. A reasonable scaling behavior and long-range nonperturbative contributions are observed.",https://arxiv.org/abs/0911.3204,https://arxiv.org/pdf/0911.3204v1,Q23,multiscale,L9,expansion/raw/arxiv/Q23.xml
1007.4897,v2,Polarised correlators at finite temperature,G. Aarts; C. R. Allton; S. J. Hands; J. Foley; S. Kim,2010-07-28T08:39:27Z,2010-09-30T15:11:56Z,hep-lat,hep-lat,"QCD undergoes a deconfining transition at high temperature to a ""quark-gluon plasma"" phase where hadrons may become unbound. In this work, meson correlation functions at non-zero momentum are studied both in the confined and plasma phases using the Maximum Entropy Method. In particular, both the longitudinal and transverse modes of the vector correlation functions are considered. Only in the case of light quarks in the plasma phase, we find that both longitudinal and transverse spectral functions have a non-zero intercept at zero energy.",https://arxiv.org/abs/1007.4897,https://arxiv.org/pdf/1007.4897v2,Q14,author,L3,raw/arxiv/Q14.xml
1010.3725,v1,Bottomonium above deconfinement in lattice nonrelativistic QCD,G. Aarts; S. Kim; M. P. Lombardo; M. B. Oktay; S. M. Ryan; D. K. Sinclair; J. -I. Skullerud,2010-10-18T20:38:08Z,2010-10-18T20:38:08Z,hep-lat,hep-lat;hep-ph;nucl-th,"We study the temperature dependence of bottomonium for temperatures in the range $0.4 T_c < T < 2.1 T_c$, using nonrelativistic dynamics for the bottom quark and full relativistic lattice QCD simulations for $N_f=2$ light flavors on a highly anisotropic lattice. We find that the $Υ$ is insensitive to the temperature in this range, while the $χ_b$ propagators show a crossover from the exponential decay characterizing the hadronic phase to a power-law behaviour consistent with nearly-free dynamics at $T \simeq 2 T_c$.",https://arxiv.org/abs/1010.3725,https://arxiv.org/pdf/1010.3725v1,Q14,author,L3,raw/arxiv/Q14.xml
