paper_id,arxiv_id,title,authors,version,version_date,canonical_url,pages,sha256,part1_identity_evidence,part1_method_evidence,full_text_status,export_policy
P001,2606.13790,Stochastic Path Sampler For Lattice Field Theory,"Shiyang Chen; Moxian Qian; Gert Aarts; Biagio Lucini; Kai Zhou",v1,2026-06-11,https://arxiv.org/abs/2606.13790,33,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,E-260613790-I,E-260613790-M,exact_pdf_checked,PDF_not_exported
P002,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Qinsheng Zhang; Yongxin Chen",v2,2022-03-10,https://arxiv.org/abs/2111.15141,26,e0bb88baf8cf19b54d29195a6765aaf113de42fa7b5aab2d11658fd959175ac8,E-211115141-I,E-211115141-M,exact_pdf_checked,PDF_not_exported
P003,2302.13834,Denoising Diffusion Samplers,"Francisco Vargas; Will Grathwohl; Arnaud Doucet",v2,2023-08-16,https://arxiv.org/abs/2302.13834,30,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,E-230213834-I,E-230213834-M,exact_pdf_checked,PDF_not_exported
P004,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Francisco Vargas; Shreyas Padhy; Denis Blessing; Nikolas Nuesken",v12,2025-05-07,https://arxiv.org/abs/2307.01050,43,53ccf9eacc9476d81b885750959fb9792bc68f37d1f468c2d8d3f0013645f1a1,E-230701050-I,E-230701050-M,exact_pdf_checked,PDF_not_exported
P007,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,"Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero",v3,2022-07-06,https://arxiv.org/abs/2201.08862,32,798759d54c5256ac75eb188fac679c96d0af51979894b85d0c72c7db03817858,E-220108862-I,E-220108862-M,exact_pdf_checked,PDF_not_exported
