query_id,family,facet,rank,source,source_id,doi,arxiv_id,title,authors,year,cited_by_count,abstract,primary_url,provenance
Q04,backward,lineage,12,root_bibliography,Gerdes_2023,10.21468/SciPostPhys.15.6.238,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,0,,https://arxiv.org/abs/2207.00283,current root bibliography ref 12
Q04,backward,lineage,13,root_bibliography,dehaan2021scalingmachinelearningquantum,,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,0,,https://arxiv.org/abs/2110.02673,current root bibliography ref 13
Q04,backward,lineage,14,root_bibliography,Chen:2025kfo,10.22323/1.466.0042,2502.02127,Exploring Generative Networks for Manifolds with Non-Trivial Topology,"Chen, Shi-Yang and Aarts, Gert and Lucini, Biagio",2025,0,,https://arxiv.org/abs/2502.02127,current root bibliography ref 14
Q04,backward,lineage,15,root_bibliography,hackett2025flowbasedsamplingmultimodalextendedmode,,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,0,,https://arxiv.org/abs/2107.00734,current root bibliography ref 15
Q04,backward,lineage,16,root_bibliography,Chen:2022ytr,10.1103/PhysRevD.107.056001,2211.03470,Fourier-flow model generating Feynman paths,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,0,,https://arxiv.org/abs/2211.03470,current root bibliography ref 16
Q04,backward,lineage,17,root_bibliography,Zhou:2023pti,10.1016/j.ppnp.2023.104084,2303.15136,Exploring QCD matter in extreme conditions with Machine Learning,"Zhou, Kai and Wang, Lingxiao and Pang, Long-Gang and Shi, Shuzhe",2024,0,,https://arxiv.org/abs/2303.15136,current root bibliography ref 17
Q04,backward,lineage,18,root_bibliography,wu2020stochastic,,,Stochastic Normalizing Flows,"Wu, Hao and K\"" o hler, Jonas and Noe, Frank",2020,0,,https://proceedings.neurips.cc/paper\_files/paper/2020/file/41d80bfc327ef980528426fc810a6d7a-Paper.pdf,current root bibliography ref 18
Q04,backward,lineage,19,root_bibliography,Caselle_2022,10.1007/JHEP07(2022)015,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2022,0,,https://arxiv.org/abs/2201.08862,current root bibliography ref 19
Q04,backward,lineage,20,root_bibliography,caselle2022stochasticnormalizingflowslattice,10.22323/1.430.0005,2210.03139,Stochastic normalizing flows for lattice field theory,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2023,0,,https://arxiv.org/abs/2210.03139,current root bibliography ref 20
Q04,backward,lineage,21,root_bibliography,caselle2025stochasticnormalizingflowseffective,,2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle and Elia Cellini and Alessandro Nada,2025,0,,https://arxiv.org/abs/2412.19109,current root bibliography ref 21
